estado,cidade,bairro,endereco,preco,avaliacao,desconto,modalidade,descricao,link,foto,first_time_seen,not_seen_since
RO,MACHADINHO D'OESTE,CENTRO,"Rua Belmiro Rigotti, N. 3150, Lt 014, Qd 09",176358.01,273000.0,35.4,Venda Direta Online,"Casa, 123.79 de área total, 123.79 de área privativa, 170.10 de área do terreno, 3 qto(s), a.serv, WC, 1 sala(s), cozinha.",1444408559970,Ver foto,2021-08-22,2021-09-03
RO,MACHADINHO D'OESTE,,"Av. Tancredo Neves, N. s/n, St 01, Qd 071, Lt 03-A",50908.2,69000.0,26.22,Venda Direta Online,"Terreno, 405.00 de área total, 0.00 de área privativa, 405.00 de área do terreno.",1555522039744,,2021-08-22,2021-09-03
RO,MONTE NEGRO,CENTRO,"R SETE DE SETEMBRO, N. 2641, LT 05/B, QD 02",45336.01,80000.0,43.33,Venda Direta Online,"Casa, 78.22 de área total, 78.22 de área privativa, 340.00 de área do terreno, a.serv.",8444401540562,,2021-08-22,2021-09-03
RO,NOVA MAMORE,,"AV AVENIDA ANISIO KLASS NETO, N. 3333, - Quadra:20.05 - Lote:06",95000.0,82000.0,0.0,1º Leilão SFI,"Casa, 69.75 de área total, 69.75 de área privativa, 287.50 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",8444403650020,,2021-08-26,2021-09-03
RO,OURO PRETO DO OESTE,,"Av. Tancredo Neves, N. 856, Lt 63, Qd 213, St 02",49878.01,90000.0,44.58,Venda Direta Online,"Casa, 108.00 de área total, 69.50 de área privativa, 245.14 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha.",8444404527125,Ver foto,2021-08-22,2021-09-03
RO,PIMENTA BUENO,CENTRO,"Rua Bartolomeu Bueno, N. 704, Lote 02, Quadra 090",228595.51,315000.0,27.43,Venda Direta Online,"Casa, 284.03 de área total, 284.03 de área privativa, 600.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 2 sala(s), sacada, cozinha.",18240,,2021-08-22,2021-09-03
RO,PORTO VELHO,CASCALHEIRA,"Rod. BR-364, N. s/n°, Lt 3610, Qd 514, St 30",931425.0,1693500.0,45.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 10302.56 de área do terreno.",1555520742545,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Est dos Periquitos, Lote 08, Quadra 28",63809.18,110000.0,42.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 552.00 de área do terreno.",10004237,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Est dos Periquitos, N. 1740, Lote 02, Quadra 28",48057.65,66222.47,27.43,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 552.00 de área do terreno.",10004218,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Est dos Periquitos, N. 1740, Lote 03, Quadra 28",44993.4,62000.0,27.43,Venda Direta Online,"Outros, 120.00 de área total, 120.00 de área privativa, 552.00 de área do terreno.",10004223,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Est dos Periquitos, N. 1740, Lote 04, Quadra 28",63809.18,108000.0,40.92,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 552.00 de área do terreno.",10004229,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"RUA B (Atual Nova Petrólis), N. S/N, QD05 LT14 (Atual LT 1064) ST51",375713.25,683115.0,45.0,Venda Direta Online,"Terreno, 5000.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.",18062,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"RUA G (ATUAL R. NOVA PETROPOLIS), LT. 09, QD. 019, ST. 51",814000.0,1480000.0,45.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.",17968,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"RUA G (RUA SEVERINO SILVA), LT. 0910, QD. 019, ST. 51",245000.0,490000.0,50.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.",17967,,2021-08-22,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Rua Esparta, Lote 15, Quadra 05, Setor 51",453750.0,825000.0,45.0,Venda Direta Online,"Terreno, 5000.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.",18063,,2021-09-01,2021-09-03
RO,PORTO VELHO,CIDADE JARDIM,"Rua Esparta, Lote 15, Quadra 05, Setor 51",453750.0,825000.0,45.0,Venda Online,"Terreno, 5000.00 de área total, 0.00 de área privativa, 5000.00 de área do terreno.",18063,,2021-08-25,2021-09-03
RO,PORTO VELHO,CUNIA,"R MACHADO DE ASSIS, N. 6158, - Setor-15 - Q-033 - L-0452 - Unidade",144400.0,125000.0,0.0,1º Leilão SFI,"Casa, 92.85 de área total, 92.85 de área privativa, 182.36 de área do terreno, a.serv, 1 suite(s), 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.",8444407839918,,2021-08-26,2021-09-03
RO,PORTO VELHO,EMBRATEL,"HERBERT DE AZEVEDO, N. 3203, Lote 0204, Quadra 27, Setor 5",326565.0,450000.0,27.43,Venda Direta Online,"Comercial, 257.36 de área total, 257.36 de área privativa, 302.38 de área do terreno.",10002773,,2021-08-22,2021-09-03
RO,PORTO VELHO,EMBRATEL,"RUA GUIANA, N. 2904, Apto 12, BL O",266000.0,255000.0,0.0,1º Leilão SFI,"Apartamento, 0.00 de área total, 95.28 de área privativa, 0.01 de área do terreno.",10139086,,2021-08-26,2021-09-03
RO,PORTO VELHO,JARDIM SANTANA,"Rua Erechim, St 33, Qd 025, Lt 0224",58940.47,129795.47,54.59,Venda Direta Online,"Casa, 70.30 de área total, 70.30 de área privativa, 176.53 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",8444406081523,Ver foto,2021-08-22,2021-09-03
RO,PORTO VELHO,MARIANA,"R PALHETEIRO (NO LOCAL 2674), N. S/N, LT510 QD162 ST49",49302.91,87000.0,43.33,Venda Direta Online,"Casa, 250.00 de área total, 44.05 de área privativa, 250.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",8444411743270,Ver foto,2021-08-22,2021-09-03
RO,PORTO VELHO,MARIANA,"RUA BACURI, N. S/N, LT 40 QD 209 SETOR 35",116600.0,76000.0,0.0,1º Leilão SFI,"Casa, 0.00 de área total, 44.05 de área privativa, 250.00 de área do terreno.",8444406662461,,2021-08-26,2021-09-03
RO,PORTO VELHO,NOSSA SENHORA DAS GRACAS,"AVENIDA NAÇÕES UNIDAS, N. 477, SETOR 4, QDR 54, LT 206",1986000.0,1433082.0,0.0,1º Leilão SFI,"Terreno, 0.00 de área total, 0.00 de área privativa, 741.89 de área do terreno.",10139085,,2021-08-26,2021-09-03
RO,PORTO VELHO,NOVO HORIZONTE,"RUA SECUNDARIA, N. 1950, UNIDADE 21 - QD B",96600.0,126000.0,23.34,1º Leilão SFI,"Casa, 0.00 de área total, 63.27 de área privativa, 0.01 de área do terreno, 2 qto(s), varanda, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",8555508078906,,2021-08-26,2021-09-03
RO,PORTO VELHO,PEDRINHAS,"AVENIDA DOS IMIGRANTES, N. 5850, Apto 503, SETOR 24, QD999, BL C",164000.0,171000.0,4.1,1º Leilão SFI,"Apartamento, 0.00 de área total, 50.96 de área privativa, 0.01 de área do terreno.",10139087,,2021-08-26,2021-09-03
RO,PORTO VELHO,RIO MADEIRA,"AVENIDA DOS IMIGRANTES, N. 5850, Apto 504, BL C, LT555, SETOR 24, QD 999",177000.0,168000.0,0.0,1º Leilão SFI,"Apartamento, 0.00 de área total, 50.96 de área privativa, 0.01 de área do terreno.",10139088,,2021-08-26,2021-09-03
RO,PORTO VELHO,TANCREDO NEVES,"R CASSIANA PAES, N. 8604, - Setor:23 - Quadra:57 - Lote:10",117500.0,118500.0,0.85,1º Leilão SFI,"Terreno, 0.00 de área total, 0.00 de área privativa, 235.75 de área do terreno, 3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",1555533642900,,2021-08-26,2021-09-03
RO,PORTO VELHO,TANCREDO NEVES,"R FRANCISCO REBOUCA, N. 3700, Lt. 389, Qd. 59, St. 23",156882.31,255000.0,38.48,Venda Direta Online,"Casa, 211.26 de área total, 211.26 de área privativa, 244.68 de área do terreno, 3 qto(s), a.serv, WC, 2 sala(s), cozinha.",1444408624429,Ver foto,2021-08-22,2021-09-03
RO,PORTO VELHO,TIRADENTES,"Rua Teófilo Otoni, N. 3197, Lote 160, Quadra 08, Setor 015",219887.1,303000.0,27.43,Venda Direta Online,"Terreno, 400.00 de área total, 0.00 de área privativa, 400.00 de área do terreno.",10004903,,2021-08-22,2021-09-03
RO,PORTO VELHO,TRES MARIAS,"RUA MARTE, N. 2124, Lt. 0261, Qd. 008, St. 16",351000.0,540000.0,35.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 900.75 de área do terreno.",10003907,,2021-08-22,2021-09-03
RO,PORTO VELHO,TRIANGULO,"EST SANTO ANTONIO, N. 490, QD. 118, LT. 0263, ST. 03",372350.0,677000.0,45.0,Venda Direta Online,"Terreno, 0.00 de área total, 0.00 de área privativa, 3640.00 de área do terreno.",17947,,2021-08-22,2021-09-03
RO,PORTO VELHO,,"RUA A, N. 1228, Quadra:517 - Lote:0428 - U, CASA 83",88700.0,108000.0,17.88,1º Leilão SFI,"Casa, 42.22 de área total, 41.74 de área privativa, 105.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.",8555527302859,,2021-08-26,2021-09-03
