link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
10007023,"RUA MINAS GERAIS, N. 01, LT 21, QUARTEIRÃO 245",CENTRO,"Terreno, 500.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",60233.1,83000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10007024,"RUA MINAS GERIAS, N. 01, LT 22, QUARTEIRÃO 245",CENTRO,"Terreno, 0.00 de área total, 0.00 de área privativa, 500.00 de área do terreno.",60233.1,83000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10012125,"RUA DO GUARANÁ, N. 14, LT 14, QUAETEIRÃO SM-10",CENTRO,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",223515.6,308000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10012126,"RUA DO GUARANÁ, N. 13, LT 13-A, QUARTEIRÃO SM-10",CENTRO,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",223515.6,308000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10012127,"RUA DO GUARANÁ, N. 13, LT 13, QUARTEIRÃO SM-10",CENTRO,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",223515.6,308000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10012128,"RUA DO GUARANÁ, N. 12, LT 12-A, QUARTEIRÃO SM-10",CENTRO,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",223515.6,308000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
10012129,"RUA DO GUARANÁ, N. 12, LT 12, QUARTEIRÃO SM-10",CENTRO,"Casa, 128.06 de área total, 128.06 de área privativa, 180.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 1 sala(s), 1 lavabo(s), cozinha.",223515.6,308000.0,27.43,Venda Direta Online,,CRUZEIRO DO SUL,AC
1444403198855,"Estrada Nova Olinda, Sítio Fortaleza - Lt 92",,"Gleba, 129857.00 de área total, 0.00 de área privativa, 129857.00 de área do terreno.",592800.0,912000.0,35.0,Venda Direta Online,,CRUZEIRO DO SUL,AC
1444403684881,"Rua Projetada, Lt 04, Qd 05",,"Casa, 148.09 de área total, 148.09 de área privativa, 300.00 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), sacada, cozinha.",124678.01,193000.0,35.4,Venda Direta Online,Ver foto,CRUZEIRO DO SUL,AC
1444405653703,"Rua Nilo Peçanha, N. 490, St 2-A, Qd 68",,"Casa, 193.50 de área total, 193.50 de área privativa, 300.00 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), sacada, cozinha.",185919.35,340000.0,45.32,Venda Direta Online,Ver foto,CRUZEIRO DO SUL,AC
