link,endereco,bairro,descricao,preco,avaliacao,desconto,modalidade,foto,cidade,estado
8444411163532,"AV AV. DEPUTADO ANTÔNIO BRITO, N. 2547, ST 04, QD 109, LT 09, Zona Sul",CENTRO,"Casa, 86.80 de área total, 86.80 de área privativa, 125.24 de área do terreno, 2 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.",58191.0,105000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444411552636,"TV 2 TRAVESSA LUIZ EDUARDO MAGALHAES, N. 120, Q 62, LOTE 12 ZONA NORTE",CENTRO,"Casa, 68.00 de área total, 68.00 de área privativa, 86.02 de área do terreno, 2 qto(s), varanda, a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",48215.41,87000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444411870255,"Rua Deputado Antonio Brito Qd 109 Lt 5 Setor 4, N. 2567, Zona Sul",CENTRO,"Casa, 86.36 de área total, 86.36 de área privativa, 127.00 de área do terreno, 1 qto(s), varanda, a.serv, 1 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",64287.21,116000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444412426472,"II Travessa do Cruzeiro, N. 28, St 06, Qd 82, Lt 03",CENTRO,"Casa, 0.00 de área total, 69.00 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",46552.81,84000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
8444412770807,"TV II DO CRUZEIRO, N. 00000, Setor 06 Q 81 Lote 09",CENTRO,"Casa, 69.00 de área total, 69.00 de área privativa, 112.50 de área do terreno, 3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",47661.21,86000.0,44.58,Venda Direta Online,Ver foto,RIBEIRA DO POMBAL,BA
10004975,"Travessa Isaías Alves de Almeida, N. 136, Apto 302, 3º pavimento da Lamina III",COSTA AZUL,"Apartamento, 254.25 de área total, 202.80 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, 1 suite(s), WC, 2 sala(s), DCE, piscina, cozinha, 2 vaga(s) de garagem.",386798.1,533000.0,27.43,Venda Direta Online,Ver foto,SALVADOR,BA
10005004,"Av Tancredo Neves, N. 2227, Apto 2410, Tipo 15, torre mista",CAMINHO DAS ARVORES,"Apartamento, 70.88 de área total, 34.45 de área privativa, 0.00 de área do terreno, 1 qto(s), WC, 1 vaga(s) de garagem.",234231.86,390386.44,40.01,Licitação Aberta,Ver foto,SALVADOR,BA
10006846,"AV. ANTONIO CARLOS MAGALHÃES, N. 3244, Sala 804",PITUBA,"Sala, 31.18 de área total, 31.18 de área privativa, 56.72 de área do terreno, WC, 1 sala(s).",156025.5,215000.0,27.43,Venda Online,,SALVADOR,BA
10137840,"Caminho 008 Nucleo D Bloco 08, N. 08, Apto 201",CAJAZEIRAS VIII,"Apartamento, 0.00 de área total, 42.40 de área privativa, 0.00 de área do terreno, 2 qto(s), a.serv, WC, 1 sala(s), cozinha.",56604.6,78000.0,27.43,Venda Direta Online,,SALVADOR,BA
1444402965666,"RUA DO LEAO, N. 21, Apto 101",ITAPUA,"Apartamento, 0.00 de área total, 103.00 de área privativa, 0.00 de área do terreno, varanda, a.serv, 2 suite(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.",147316.99,247000.0,40.36,Venda Direta Online,Ver foto,SALVADOR,BA
